기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2021","사회복지학개론","11. 잔여적 사회복지의 관점으로 옳은 것은?","1. 사회복지는 사회를 유지하는 데 필수적인 기능을 수행한다.","2. 현대사회에서 가족과 시장은 제 기능을 적절히 수행할 수 없는 한계가 있기 때문에 사회문제의 발생은 당연하다.","3. 사회복지는 권리가 아닌 시혜이며 수급자는 병리적인 존재이다.","4. 빈곤, 실업 등 사회문제가 발생하는 주된 원인은 사회구조적 모순에 있다.","","3","③ 잔여적(Residual) 관점은 사회복지를 가족이나 시장이 제 기능을 하지 못할 때 임시적으로 보충하는 제도로 봅니다. 따라서 복지 급여를 권리가 아닌 시혜(자선)로 간주하며, 수급자가 된 상황을 개인의 실패나 병리적인 현상으로 봅니다.

[오답 분석]
① 사회를 유지하는 필수적 기능: 제도적(Institutional) 관점.
② 현대사회에서 사회문제 발생은 당연: 제도적 관점 (구조적 기능주의).
④ 사회문제의 원인은 사회구조적 모순: 제도적 관점 또는 갈등주의 관점. (잔여적 관점은 원인을 개인에게 둡니다.)","","center","true"
"2021","사회복지학개론","12. 서구사회의 사회복지발달과정에 대한 설명으로 옳지 않은 것은?","1. 엘리자베스 구빈법은 빈민구호에 대한 국가의 책임을 인정하였으며, 빈민구호에 대한 국가 행정제도를 공식화하였다.","2. 19세기 말 영국의 자선조직협회(COS)는 정부의 개입 없이 민간의 노력에 의해 빈곤 문제를 해결할 수 있다는 생각으로 다양한 민간 중심의 구빈활동을 전개하였다.","3. 인보관운동(Settlement House Movement)의 주체는 박애사상을 실천하려는 저소득 노동계층으로 빈민지역에 상주하면서 주민들의 생활 실태를 파악하고, 빈민의 생활 개선과 교육을 위해 노력하였다.","4. 1940년대 이후 약 30년에 걸친 복지국가 황금기의 주요 기반으로는 장기호황을 들 수 있다.","","3","③ **인보관 운동(Settlement House Movement)**의 주체는 저소득 노동계층이 아니라, 대학생이나 지식인 등 **중산층 이상의 교육받은 사람들**이었습니다. 이들이 빈민 지역에 들어가 함께 거주하며 사회 개혁과 빈민의 생활 개선을 위해 노력한 운동입니다. (예: 토인비 홀)

[오답 분석]
① 엘리자베스 구빈법(1601): 빈민 구제에 대한 국가 책임을 최초로 법제화.
② 자선조직협회(COS): 우애방문원을 통한 개별 방문, 중복 구호 방지, 빈곤의 원인을 개인의 도덕적 결함으로 봄. (민간 중심)
④ 1940년대 이후: 베버리지 보고서 이후 복지국가의 황금기(확대기)를 맞이함.","","center","true"
"2021","사회복지학개론","13. 사회복지급여의 유형에 대한 설명으로 옳은 것은?","1. 현금급여는 현물급여에 비해 수급자의 선택권이 더 제한된다.","2. 현물급여는 현금급여에 비해 정책의 목표효율성이 더 우수하다.","3. 바우처는 현물급여에 비해 수급자의 선택권이 더 제한된다.","4. 기회와 달리 권력은 사회복지급여의 유형이 아니다.","","2","② **현물급여(In-kind benefit)**는 정책 입안자가 의도한 물품이나 서비스를 직접 제공하므로, 수급자가 엉뚱한 곳에 돈을 쓰는 것을 방지할 수 있어 **목표 효율성(대상 효율성)**이 현금급여보다 우수합니다.

[오답 분석]
① 현금급여는 수급자가 원하는 대로 사용할 수 있어 선택권(소비자 주권)이 가장 높습니다.
③ 바우처(Voucher)는 현물급여보다는 선택의 폭이 넓고, 현금급여보다는 제한적이므로 '현물급여에 비해 선택권이 더 제한된다'는 설명은 틀립니다.
④ 권력(Power)도 사회복지 급여의 한 형태입니다(예: 정책 결정 참여권).","","center","true"
"2021","사회복지학개론","14. 리더십이론에 대한 설명으로 옳은 것만을 모두 고르면?
ㄱ. 특성이론은 효과적인 리더의 개인적 성향이나 형질을
규명하는 작업에 집중한다.
ㄴ. 관리격자이론은 사람과 일(생산)에 대해 적절히 균형을
갖는중용형(5,5)을 가장 이상적인 리더십으로간주한다.
ㄷ. 하우스(House)의 경로－목표이론에서는 상황을 크게
부하의 상황과 업무환경에관련된상황으로 구분한다.
ㄹ. 허시(Hersey)와 블랜챠드(Blanchard)의 상황이론에서는
부하가 업무능력은 없지만 업무수행 의지는 있는 경우,
참여형 리더십이 효과적이라고 주장한다","1. ㄱ, ㄷ","2. ㄱ, ㄴ, ㄹ","3. ㄱ, ㄷ, ㄹ","4. ㄴ, ㄷ, ㄹ","","1","ㄱ. 특성이론(Trait Theory): 리더가 고유하게 타고난 자질이나 성격에 초점을 둡니다. (옳음)
ㄷ. 경로-목표 이론(Path-Goal Theory): 하우스(House)는 리더가 부하의 특성과 환경적 요인을 고려하여 목표 달성의 경로를 제시해야 한다고 보았습니다. (옳음)

[오답 분석]
ㄴ. 관리격자이론(Blake & Mouton): '중용형(5,5)'이 아닌 **'팀형(9,9)'**을 가장 이상적인 리더십으로 간주합니다.
ㄹ. 허시와 블랜차드의 상황이론: 부하가 업무 능력은 낮지만 의욕이 높은 경우(R2/M2 단계)에는 과업 지시와 관계 지원을 모두 높게 하는 **'설득형(Selling)' 또는 '지도형'** 리더십이 효과적입니다. '참여형'은 능력은 있으나 의욕이 낮은 경우(R3)에 적합합니다.","","center","true"
"2021","사회복지학개론","15. 사회복지전달체계의 유형 중 민간부문 전달체계의 필요성으로 옳은 것은?","1. 다양한 사회복지서비스에 대한 선택의 기회 제공","2. 평등과 사회적 적절성의 우선적 추구","3. 지속적이고 포괄적인 복지서비스 제공","4. 대량공급을 통한 규모의 경제 이점 실현","","1","① 민간부문은 다양한 서비스 제공 주체가 존재하므로 클라이언트에게 **다양한 선택의 기회**를 제공할 수 있고, 욕구 변화에 탄력적으로 대응할 수 있습니다.

[오답 분석]
② 평등과 사회적 적절성의 추구는 국가(공공) 전달체계의 장점입니다.
③ 지속적이고 포괄적인 서비스 제공은 안정적인 재원을 가진 공공 부문이 더 유리합니다.
④ 대량공급을 통한 규모의 경제 실현은 전국적 조직망을 가진 공공 부문의 특징입니다.","","center","true"
"2021","사회복지학개론","16. 「아동학대범죄의 처벌 등에 관한 특례법」상 아동학대범죄 신고의무자에 해당하지 않는 사람은?","1. 치과의사","2. 작업치료사","3. 교정직 공무원","4. 성매매피해상담소 소장","","3","③ **교정직 공무원**은 일반적인 수감자를 관리하므로 아동학대 신고의무자에 명시적으로 포함되어 있지 않습니다. (단, 소년원 등의 교정 교육을 담당하는 특정 직군은 포함될 수 있으나, 법령상 나열된 직군 중 일반 교정직 공무원은 제외됩니다.)

[신고의무자 포함 직군]
① 치과의사 (의료인)
② 작업치료사 (의료기사)
④ 성매매피해상담소의 장 및 종사자
이 외에도 교사, 사회복지전담공무원, 구급대원, 어린이집 원장 등 아동과 밀접하게 접촉하는 직군들이 포함됩니다.","","center","true"
"2021","사회복지학개론","17. 사회복지실천 과정에서 윤리적 갈등이 발생하는 원인에 대한 설명으로 옳지 않은 것은?","1. 클라이언트 체계의 다중성－한 가정 내에 장애아동, 학대받는 아내, 치매에 걸린 부모 등 다수의 클라이언트가 존재하고, 이들 간의 이해가 충돌했을 때 누구의 이해를 최우선으로 할 것인가에 대한 갈등","2. 의무의 상충 － 학대받은 사실을 비밀로 해달라는 아동의 요청을 받았을 경우, 클라이언트의 비밀보장과 생명보호의 가치 중 어떠한 가치를 우선할 것인가에 대한 갈등","3. 결과의 모호성－영유아의 해외입양처럼 사회복지사의 결정에 대한 결과의 불확실성으로 인해 발생하는 갈등","4. 권력의 불균형 － 클라이언트와 사회복지사 간의 권력의 불균형으로 인해 클라이언트의 알 권리 또는 자기결정권이 침해되었을 때 발생하는 갈등","","2","② 제시된 사례(학대받은 아동이 비밀 유지를 요청하는 경우)는 '비밀보장'의 가치와 '생명보호'의 가치가 충돌하는 상황입니다. 그러나 아동학대의 경우 현행법상 **신고의무**가 법적으로 강제되므로, 사회복지사가 윤리적으로 고민하여 선택할 수 있는 딜레마 상황이라기보다는 **법적 의무(신고)가 우선**하는 상황입니다. 따라서 이를 단순한 '가치 가치 간의 상충'으로 설명하며 딜레마의 원인으로 드는 것은 적절치 않거나, 이미 법적으로 해답이 정해진 사안입니다. 또한, 이는 '의무의 상충'이라기보다는 가치의 상충 혹은 법적 의무와 윤리적 원칙의 충돌로 볼 수 있습니다.

[오답 분석]
① 다중 클라이언트 체계: 누구의 이익을 우선할지 모호함.
③ 결과의 모호성: 결정의 결과가 불확실할 때 발생.
④ 권력의 불균형: 온정주의와 자기결정권 사이의 갈등.","","center","true"
"2021","사회복지학개론","18. 「장애인연금법」의 내용으로 옳은 것은?","1. 장애인연금 수급권자의 연령은 20세 이상이다.","2. 장애인연금의 종류에는 기초급여와 부가급여가 있다.","3. 보건복지부장관이 선정기준액을 정할 때에는 18세 이상의 중증장애인 중 수급자가 100분의 80수준이 되도록 한다.","4. 「군인연금법」상 퇴역연금을 받을 자격이 있는 사람에게 장애인연금을 지급한다.","","2","② 장애인연금은 근로능력 상실에 따른 소득 감소를 보전해 주는 **기초급여**와 장애로 인한 추가 비용을 보전해 주는 **부가급여**로 구성됩니다. (옳음)

[오답 분석]
① 수급권자 연령은 **18세** 이상입니다. (20세 아님)
③ 선정기준액은 18세 이상 중증장애인 중 수급자가 **100분의 70** 수준이 되도록 설정합니다. (80 아님)
④ 「군인연금법」 등 다른 공적 연금을 받는 사람은 원칙적으로 장애인연금 수급 대상에서 **제외**됩니다 (중복 급여 제한).","","center","true"
"2021","사회복지학개론","19. 소득보장정책에 대한 설명으로 옳은 것은?","1. 사회보험은 급여액이 수급자가 낸 사회보험료에 비례하므로 재분배기능이 없다.","2. 국민기초생활보장제도는 수급자 특성에 따라 맞춤형급여를 제공하므로 재분배기능이 약하다.","3. 아동수당은 비기여－비자산조사 프로그램에 해당한다.","4. 국민연금은 비기여－비자산조사 프로그램에 해당한다.","","3","③ **아동수당**은 수급자가 기여금을 내지 않는 **비기여** 제도이며, 소득이나 자산을 조사하지 않고 일정 연령의 모든 아동에게 지급하는 **비자산조사(보편적)** 프로그램입니다. (옳음)

[오답 분석]
① 사회보험도 고소득자가 더 많이 내고 혜택은 하후상박 구조를 갖거나 위험 분산을 통해 소득재분배 기능(수직적/수평적)을 수행합니다.
② 국민기초생활보장제도(공공부조)는 조세를 재원으로 하여 빈곤층에게 급여를 제공하므로 소득재분배 효과가 가장 강력합니다.
④ 국민연금은 가입자가 보험료를 납부해야 하는 **기여** 프로그램입니다.","","center","true"
"2021","사회복지학개론","20. 모성보호와 자녀 돌봄 지원에 대한 내용으로 옳지 않은 것은?","1. 어린이집 또는 유치원을 이용하지 않는 만 60개월 아동은 양육수당 지원 대상이 된다.","2. 임신 중인 여성 근로자가 90일의 출산전후휴가를 부여받은 경우, 휴가 기간은 출산 후 45일 이상 확보되어야 한다.","3. 만 8세 이하의 자녀를 양육하기 위해 사업주로부터 육아휴직을 허용 받은 근로자는 자녀 1명당 최대 1년간 휴직할 수 있다.","4. 소득에 관계없이 만 8세 이하의 아동을 둔 가정은 아동수당을 지급받는다.","","4","④ 2021년도 시험 시행 당시(2021년 6월), **아동수당**의 지급 대상은 **만 7세 미만(생후 83개월까지)**의 아동이었습니다. 따라서 '만 8세 이하'라는 설명은 당시 법령 기준으로 옳지 않습니다. (참고: 이후 법 개정으로 연령이 상향 조정되었으나, 기출문제 풀이는 당시 기준 또는 오답의 논리인 '연령 기준 오류'를 파악하는 것이 중요합니다.)

[오답 분석]
① 양육수당: 어린이집/유치원을 이용하지 않는 아동에게 지급. (옳음)
② 출산전후휴가: 90일(다태아 120일), 출산 후 45일(다태아 60일) 이상 확보. (옳음)
③ 육아휴직: 만 8세 이하 또는 초등학교 2학년 이하 자녀 대상, 부모 각각 1년. (옳음)","","center","true"
